publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Greek moulds 									http://hdl.handle.net/2333.1/n8pk1067		n8pk1067		fulltext							Ancient World Digital Library	global.5644.217	746172838		746172838	monograph								free
Greek papyri 									http://hdl.handle.net/2333.1/jdfn3731	Bernard P. Grenfell	jdfn3731		fulltext							Ancient World Digital Library	global.5644.217	746172839		746172839	monograph								free
Greek papyri in the British Museum vol. 1 									http://hdl.handle.net/2333.1/2z34twmq	Frederic G. Kenyon	2z34twmq		fulltext							Ancient World Digital Library	global.5644.217	569742726a		569742726	monograph								free
Greek papyri in the British Museum vol. 2 									http://hdl.handle.net/2333.1/z612jw8t	Frederic G. Kenyon	z612jw8t		fulltext							Ancient World Digital Library	global.5644.217	569742726b		569742726	monograph								free
Greek papyri in the British Museum vol. 3 									http://hdl.handle.net/2333.1/tdz08vsn	Frederic G. Kenyon	tdz08vsn		fulltext							Ancient World Digital Library	global.5644.217	569742726c		569742726	monograph								free
Greek sculpture 									http://hdl.handle.net/2333.1/hmgqnwcd		hmgqnwcd		fulltext							Ancient World Digital Library	global.5644.217	733855588		733855588	monograph								free
Greek terms for Roman institutions 									http://hdl.handle.net/2333.1/dbrv1b19	Hugh J. Mason	dbrv1b19		fulltext							Ancient World Digital Library	global.5644.217	681903291		681903291	monograph								free
Greek vases / 									http://hdl.handle.net/2333.1/cvdncvw9		cvdncvw9		fulltext							Ancient World Digital Library	global.5644.217	746172844		746172844	monograph								free
Grundlagen des koptischen Satzbaus v.1 									http://hdl.handle.net/2333.1/cnp5ht4z	Hans Jakob Polotsky	cnp5ht4z		fulltext							Ancient World Digital Library	global.5644.217	664425573a		664425573	monograph			1					free
Grundlagen des koptischen Satzbaus v.2 									http://hdl.handle.net/2333.1/rn8pk58j	Hans Jakob Polotsky	rn8pk58j		fulltext							Ancient World Digital Library	global.5644.217	664425573b		664425573	monograph			2					free
Guardians of the Gate : Angelic Vice Regency in Late Antiquity 									http://hdl.handle.net/2333.1/0zpc880j	Nathaniel Deutsch	0zpc880j		fulltext							Ancient World Digital Library	global.5644.217			1224943183	monograph								free
Gudea's Temple Building : The Representation of an Early Mesopotamian Ruler in Text and Image 									http://hdl.handle.net/2333.1/v15dv5xz	C.E. Suter	v15dv5xz		fulltext							Ancient World Digital Library	global.5644.217			1224917159	monograph								free
Histoire de l'ordre lotiforme : ètude d'archèlogie ègyptienne 									http://hdl.handle.net/2333.1/bvq83npm		bvq83npm		fulltext							Ancient World Digital Library	global.5644.217	746172849		746172849	monograph								free
Historical studies 									http://hdl.handle.net/2333.1/73n5tn5c		73n5tn5c		fulltext							Ancient World Digital Library	global.5644.217	746172851		746172851	monograph								free
History and Historical Writing in Ancient Israel : Studies in Biblical Historiography 									http://hdl.handle.net/2333.1/t1g1jzpv	Tomoo Ishida	t1g1jzpv		fulltext							Ancient World Digital Library	global.5644.217	607442964		607442964	monograph								free
