publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
The book of the kings of Egypt : or, The Ka, Nebti, Horus, Suten Bat, and Rä names of the pharaohs with transliterations from Menes, the first dynastic king of Egypt, to the emperor Decius, with chapters on the royal names, chronology, etc 									http://hdl.handle.net/2333.1/1ns1rz9m				ebook							Ancient World Digital Library	global.5644.217	730929777		730929777	
The Care of the Elderly in the Ancient Near East 									http://hdl.handle.net/2333.1/dz08krk1	Marten Stol										Ancient World Digital Library	global.5644.217			1224927093	
The Cemeteries of Abydos (pt.3) 									http://hdl.handle.net/2333.1/b5mkm6kb				ebook							Ancient World Digital Library	global.5644.217	744746961		744746961	
The civilization of the ancient Egyptians. 									http://hdl.handle.net/2333.1/fxpnw74w				ebook							Ancient World Digital Library	global.5644.217	697669343		697669343	
The Constantian Monetary Revolution 									http://hdl.handle.net/2333.1/3n5tb9sc	Roger S. Bagnall			ebook							Ancient World Digital Library	global.5644.217	1091058749		1091058749	
The Construction of the Assyrian Empire : A Historical Study of the Inscriptions of Shalmaneser III (859-824 B.C.) Relating to His Campaigns to the West 									http://hdl.handle.net/2333.1/83bk3m3t	Shigeo Yamada			ebook							Ancient World Digital Library	global.5644.217	606551562		606551562	
The cosmos in the Antikythera mechanism / 									http://doi.org/2333.1/xgxd26r7				ebook							Ancient World Digital Library	global.5644.217	828186961		828186961	
The Domestication of Metals : The Rise of Complex Metal Industries in Anatolia 									http://hdl.handle.net/2333.1/gxd25616	K. Aslıhan Yener			ebook							Ancient World Digital Library	global.5644.217	606497377		606497377	
The Egyptian book of the dead 									http://hdl.handle.net/2333.1/zpc8695p	Charles Henry Stanley Davis			ebook							Ancient World Digital Library	global.5644.217	812132275		812132275	
The Elephantine papyri in English : three millennia of cross-cultural continuity and change 									http://hdl.handle.net/2333.1/q573n7pr	Bezalel Porten			ebook							Ancient World Digital Library	global.5644.217	922645875		922645875	
The epoch dates of the Antikythera mechanism 									http://hdl.handle.net/2333.1/ffbg7m07	Alexander Jones			ebook							Ancient World Digital Library	global.5644.217	1141869012		1141869012	
The Eschatology of the Book of Jubilees 									http://hdl.handle.net/2333.1/ncjsxnpn	G.L. Davenport										Ancient World Digital Library	global.5644.217			1224929365	
The fall of Samaria : an historical and archaeological study 			1992			1992			http://hdl.handle.net/2333.1/pc866vxt	Bob Becking			ebook		Brill					Ancient World Digital Library	global.5644.217	c5644.849		645909802	
The festival-hall of Osorkon II : in the great temple of Bubastis (1897-1889) / 									http://hdl.handle.net/2333.1/xsj3v7hz				ebook							Ancient World Digital Library	global.5644.217	746172827		746172827	
The four Greek hymns of Isidorus and the cult of Isis 									http://hdl.handle.net/2333.1/wm37pzfs	Vera Frederika Vanderlip			ebook							Ancient World Digital Library	global.5644.217	681861070		681861070	
The Harappan civilization and its writing a model for the decipherment of the Indus script 									http://hdl.handle.net/2333.1/d2547g3f	Walter A. Fairservis, Jr.			ebook							Ancient World Digital Library	global.5644.217	643987607		643987607	
The Herakleopolite Nome 									http://hdl.handle.net/2333.1/cc2fr3qm	Maria Rosaria Falivene			ebook							Ancient World Digital Library	global.5644.217	682021056 		682021056 	
The later Roman colonate and freedom 									http://hdl.handle.net/2333.1/tdz08w9g	Miroslava Mirković			ebook							Ancient World Digital Library	global.5644.217	81171531		81171531	
The Laws of Eshnunna 									http://hdl.handle.net/2333.1/ngf1vkbb	R. Yaron			ebook							Ancient World Digital Library	global.5644.217	580775933		580775933	
The Laws of the Hittites : A Critical Edition 									http://hdl.handle.net/2333.1/tx95x879	Harry Angier Hoffner, Jr.			ebook							Ancient World Digital Library	global.5644.217	645880025		645880025	
The manners and customs of the ancient Egyptians (v.1) 									http://hdl.handle.net/2333.1/8gthtjbn				ebook							Ancient World Digital Library	global.5644.217	746172879a		746172879	
The manners and customs of the ancient Egyptians (v.2) 									http://hdl.handle.net/2333.1/4qrfjht9				ebook							Ancient World Digital Library	global.5644.217	746172879b		746172879	
The mastaba of Ptahhetep and Akhethetep at Saqqareh / 									http://hdl.handle.net/2333.1/gf1vhtqj				ebook							Ancient World Digital Library	global.5644.217	746172882		746172882	
The Michigan medical codex (P. Mich. 758=P. Mich. inv. 21) (P.Mich. XVII) 									http://hdl.handle.net/2333.1/vmcvdr70	Louise Canberg Youtie			ebook							Ancient World Digital Library	global.5644.217	681441903		681441903	
The Monuments of Seti I : Epigraphic, Historical and Art Historical Analysis 									http://hdl.handle.net/2333.1/69p8d11h	Peter J. Brand			ebook							Ancient World Digital Library	global.5644.217	606559241		606559241	
The moon phase anomaly in the Antikythera mechanism / 									http://doi.org/2333.1/3ffbgd1v				ebook							Ancient World Digital Library	global.5644.217	948029229		948029229	
The Philistines in Transition : A History from ca. 1000 - 730 B.C.E. 									http://hdl.handle.net/2333.1/pg4f4skd	Carl S. Ehrlich										Ancient World Digital Library	global.5644.217			1224915371	
The Production and Use of Vegetable Oils in Ptolemaic Egypt 									http://hdl.handle.net/2333.1/c2fqzbfs	D. Brent Sandy			ebook							Ancient World Digital Library	global.5644.217	970346803		970346803	
The Ptolemaic and Roman idios logos 									http://hdl.handle.net/2333.1/n02v72f2	Paul R. Swarney			ebook							Ancient World Digital Library	global.5644.217	894172909		894172909	
The Ptolemaic Basilikos Grammateus 									http://hdl.handle.net/2333.1/7d7wm7m8	John F. Oates			ebook							Ancient World Digital Library	global.5644.217	680076168		680076168	
The Purity of Kingship : An Edition of <i>CHT 569</i> and Related Hittite Oracle Inquiries of Tuth̬aliya IV 									http://hdl.handle.net/2333.1/fxpnvztw	Theo van den Hout			ebook							Ancient World Digital Library	global.5644.217	645898240		645898240	
The Quartier du Stade on late Hellenistic Delos : a case study of rapid urbanization (fieldwork seasons 2009-2010) / 									http://doi.org/2333.1/51c5b1dw				ebook							Ancient World Digital Library	global.5644.217	828186971		828186971	
The rock tombs of El Amarna (14th) 									http://hdl.handle.net/2333.1/qrfj719c				ebook							Ancient World Digital Library	global.5644.217	746177267a		746177267	
The rock tombs of El Amarna (16th) 									http://hdl.handle.net/2333.1/m37pvxfb				ebook							Ancient World Digital Library	global.5644.217	746177267b		746177267	
The rock tombs of El Amarna (17th) 									http://hdl.handle.net/2333.1/gb5mkwz7				ebook							Ancient World Digital Library	global.5644.217	746177267c		746177267	
The rock tombs of El Amarna (18th) 									http://hdl.handle.net/2333.1/bk3j9wgb				ebook							Ancient World Digital Library	global.5644.217	746177267d		746177267	
The sacred officials of the Eleusinian Mysteries 									http://hdl.handle.net/2333.1/kwh711z1	Kevin Clinton			ebook							Ancient World Digital Library	global.5644.217	988180071		988180071	
The season's work at Ahnas and Beni Hasan : 1890-1891 									http://hdl.handle.net/2333.1/dncjt6j9	Edouard Naville										Ancient World Digital Library	global.5644.217			1084814067	
The slave systems of Greek and Roman antiquity 									http://hdl.handle.net/2333.1/1g1jx094	William Linn Westermann			ebook							Ancient World Digital Library	global.5644.217	1022269527		1022269527	
The store-city of Pithom and the route of the Exodus / 									http://hdl.handle.net/2333.1/nvx0khj2				ebook							Ancient World Digital Library	global.5644.217	746177278		746177278	
The story of ancient Egypt / 									http://hdl.handle.net/2333.1/j3tx9h23				ebook							Ancient World Digital Library	global.5644.217	746177279		746177279	
The taxes in grain in Ptolemaic Egypt : 									http://hdl.handle.net/2333.1/189323w5	Zola M. Packman			ebook							Ancient World Digital Library	global.5644.217	681373748 		681373748 	
The temple of Bîgeh 									http://hdl.handle.net/2333.1/q573nbpc	Aylward M. Blackman			ebook							Ancient World Digital Library	global.5644.217	746177288		746177288	
The temple of Deir el Bahari, Introductory Memoir 									http://hdl.handle.net/2333.1/kd51cb57	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014a		697757014	
The temple of Deir el Bahari, pt.1 									http://hdl.handle.net/2333.1/95x69rh0	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014b		697757014	
The temple of Deir el Bahari, pt.2 									http://hdl.handle.net/2333.1/9zw3r494	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014c		697757014	
The temple of Deir el Bahari, pt.3 									http://hdl.handle.net/2333.1/f1vhhpqz	Edouard Naville			ebook							Ancient World Digital Library	global.5644.217	697757014d		697757014	
